Maths_Interest,Science_Interest,Business_Interest,Creativity,Stress_Handling_Level,Stream
9,9,2,3,8,Science
10,8,1,4,9,Science
8,10,3,5,8,Science
9,7,2,6,7,Science
10,10,2,3,9,Science
8,8,4,4,8,Science
7,9,2,5,7,Science
9,9,3,4,8,Science
10,7,2,5,9,Science
8,9,1,6,8,Science
4,2,9,6,7,Commerce
3,3,10,5,8,Commerce
5,4,8,7,7,Commerce
2,2,9,6,8,Commerce
4,5,10,5,7,Commerce
6,3,9,4,8,Commerce
3,4,8,6,7,Commerce
5,2,10,7,8,Commerce
4,3,9,5,6,Commerce
5,4,8,6,7,Commerce
2,1,3,10,5,Arts
3,2,4,9,6,Arts
1,3,2,10,4,Arts
4,2,3,8,6,Arts
2,4,2,9,5,Arts
3,1,4,10,7,Arts
1,2,3,9,4,Arts
5,3,5,8,6,Arts
2,1,3,10,5,Arts
3,2,4,9,6,Arts
7,8,5,6,7,Science
6,9,3,4,8,Science
8,6,4,5,7,Science
5,4,9,6,7,Commerce
6,5,8,5,7,Commerce
4,6,7,6,6,Commerce
3,2,5,9,6,Arts
4,3,4,10,5,Arts
2,4,3,9,6,Arts
