Maths,Science,Social Science,English,Stream
98,97,72,74,Science
95,94,70,73,Science
92,91,75,76,Science
96,95,68,72,Science
89,90,74,75,Science
93,92,71,74,Science
90,88,76,77,Science
87,89,73,74,Science
94,96,69,71,Science
91,90,72,75,Science
88,87,78,79,Science
97,95,70,72,Science
85,86,77,78,Science
93,94,71,73,Science
90,92,74,76,Science
86,85,79,80,Science
95,93,72,74,Science
89,88,75,77,Science
92,91,73,75,Science
96,94,69,72,Science
84,82,88,90,Commerce
79,78,91,92,Commerce
81,80,86,88,Commerce
76,75,90,91,Commerce
83,82,84,86,Commerce
78,77,89,90,Commerce
74,73,92,93,Commerce
80,79,85,87,Commerce
77,76,88,89,Commerce
85,84,83,85,Commerce
82,81,86,87,Commerce
79,78,90,91,Commerce
75,74,93,94,Commerce
81,80,87,88,Commerce
76,77,89,90,Commerce
84,83,84,85,Commerce
80,79,88,89,Commerce
73,72,94,95,Commerce
78,77,90,91,Commerce
82,81,85,86,Commerce
58,60,95,96,Arts
55,57,97,98,Arts
62,64,91,92,Arts
50,52,98,99,Arts
65,66,89,90,Arts
57,59,94,95,Arts
53,55,96,97,Arts
61,63,90,91,Arts
56,58,93,94,Arts
64,65,88,89,Arts
59,60,92,93,Arts
52,54,97,98,Arts
66,67,87,88,Arts
54,56,95,96,Arts
60,62,91,92,Arts
57,58,94,95,Arts
51,53,98,99,Arts
63,64,89,90,Arts
55,57,96,97,Arts
67,68,86,87,Arts
91,93,78,80,Science
88,90,74,76,Science
94,95,70,72,Science
86,87,79,81,Science
92,91,73,75,Science
89,88,76,78,Science
95,96,69,71,Science
87,89,75,77,Science
90,91,72,74,Science
93,94,71,73,Science
81,80,87,88,Commerce
77,76,91,92,Commerce
84,83,84,86,Commerce
79,78,89,90,Commerce
75,74,93,94,Commerce
82,81,85,87,Commerce
78,77,90,91,Commerce
85,84,82,84,Commerce
80,79,88,89,Commerce
73,72,95,96,Commerce
56,58,94,95,Arts
61,62,91,92,Arts
53,54,97,98,Arts
65,66,88,89,Arts
58,59,93,94,Arts
50,51,99,99,Arts
63,64,90,91,Arts
55,56,96,97,Arts
67,68,85,86,Arts
60,61,92,93,Arts
97,98,68,70,Science
93,94,72,74,Science
90,91,75,76,Science
88,89,77,78,Science
95,96,69,71,Science
82,81,86,87,Commerce
78,77,90,91,Commerce
74,73,94,95,Commerce
85,84,83,84,Commerce
80,79,88,89,Commerce
54,55,96,97,Arts
62,63,90,91,Arts
57,58,93,94,Arts
66,67,87,88,Arts
59,60,92,93,Arts
